媒体类型,媒体名称,主要内容,访问链接
YouTube,樂易講堂-王思迅官方頻道,围绕易经与国学经典做系统讲解，以读书会和案例解读帮助理解卦象背后的处世方法。,https://www.youtube.com/@book-of-changes
Newsletter,Kyle Poyar,聚焦 B2B SaaS 与 AI 时代 GTM 增长策略，提供数据报告、案例拆解与可执行增长打法。,https://www.growthunhinged.com/?utm_source=www.growthunhinged.com&utm_medium=newsletter&utm_campaign=the-emerging-ai-growth-playbook&_bhlid=418889ca749e1dbef3b520d6f3f6c3e6e676242f
微信公众号,猫猫观察员的AI思考,AI 产品落地、提示词工程、智能体实践与复盘。,https://mp.weixin.qq.com/s/osXllm-9V5m25bi1Rm8AHg
B站,next蔡蔡,关注 AI 编程与 AI Agent 实践，分享工具实测、学习方法与产品化思考。,https://space.bilibili.com/3546627946056357?spm_id_from=333.337.0.0
YouTube,马克的技术工作坊,聚焦大模型与 AI 工程实战，涵盖模型评测、本地部署、知识库搭建与效率工具教程。,https://www.youtube.com/@%E9%A9%AC%E5%85%8B%E7%9A%84%E6%8A%80%E6%9C%AF%E5%B7%A5%E4%BD%9C%E5%9D%8A
YouTube,OpenAI,官方模型发布、产品能力演示与开发者案例。,https://www.youtube.com/@OpenAI
Newsletter,Lenny's Newsletter,产品增长、用户研究和团队管理的系统化方法。,https://www.lennysnewsletter.com/
Newsletter,新闻实验室,从传媒、科技与社会视角提供深度解读，覆盖媒体创新案例、传播理论与时事观察。,https://newsletter.newslab.info/
微信公众号,阿里云开发者,面向开发者分享云计算与 AI 工程实践，涵盖 Agent、Prompt/Context 和架构落地方法。,https://mp.weixin.qq.com/s/JycTfNd7EnmWCnJK-QCf0Q
微信公众号,有赞coder,聚焦电商与 SaaS 技术实践，分享 AI 客服、工作流设计、知识工程与评测优化经验。,https://mp.weixin.qq.com/s/1cTYhrydtLu9ff3qO2w6LQ
Newsletter,ByteByteGo,用图解方式讲解系统设计与分布式架构，帮助建立后端工程与架构设计的核心认知。,https://substack.com/@bytebytego399569
